,Index,Player,Pos,Ht,Wt,Rk,G,Season,Date,Age,Age_whole,Tm,Home/Away,Opp,Unnamed: 7,GS,MP,MP_num,FG,FGA,2P,2PA,2P%,2P_pts,FG%,3P,3PA,3P_pts,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,PPG,Avg_2PA,Avg_3PA,Avg_FTA,3PT_Percentage,FG_Percentage,FT_Percentage,3PA_5avg,3P%_5avg_pergame,FGA_5avg,FG%_5avg_pergame,FTA_5avg,FT%_5avg_pergame,PTS_EWA7,TEAM_PPG,OPP_2PA_AVG,OPP_2P%,OPP_3PA_AVG,OPP_3P%,OPP_FTA_AVG,OPP_TRB_AVG,OPP_DEF_RATING,OPP_AVG_PACE,BestGuardScoringAvg,AvgPointsScoredByGuardsVsOpponent,Avg3PAbyIndividualGuardsVsOpponent,AvgFTAbyGuardsVsOpponent,StephScoringAVGvsOPP
0,curryst01,Stephen Curry,G,6-2,185.0,1,1.0,09-10,2009-10-28,21-228,21,GSW,Home,HOU,L (-1),1,35:39,35.65,7,12,7,11,0.6363636363636364,14,0.583,0,1,0,0.0,0,0,0.0,1,1,2,7,4,0,2,2,14,15.5,7.0,,,,,,,,,,,,,,,,28.0,0.2857142857142857,12.0,0.4166666666666667,15.0,16.0,98.96907216494846,97.5,20.0,44.0,3.0,15.0,
1,curryst01,Stephen Curry,G,6-2,185.0,2,2.0,09-10,2009-10-30,21-230,21,GSW,Away,PHO,L (-22),1,39:05,39.083333333333336,5,9,3,6,0.5,6,0.556,2,3,6,0.667,0,0,0.0,0,2,2,4,1,0,3,5,12,7.1,-19.0,14.0,11.0,1.0,0.0,0.0,0.5833333333333334,,,,,,,,14.0,107.0,8.0,0.5,5.0,0.4,6.0,3.0,112.63157894736841,95.5,12.0,17.0,1.6666666666666667,6.0,
2,curryst01,Stephen Curry,G,6-2,185.0,3,3.0,09-10,2009-11-04,21-235,21,GSW,Home,MEM,W (+8),1,28:27,28.45,3,6,2,4,0.5,4,0.5,1,2,3,0.5,0,0,0.0,0,5,5,9,2,0,1,4,7,11.2,-4.0,13.0,8.5,2.0,0.0,0.5,0.5714285714285714,,,,,,,,12.461538461538463,104.0,17.25,0.4927536231884058,10.0,0.525,9.0,6.25,117.21518987341773,95.905,26.75,40.0,4.0,9.0,
3,curryst01,Stephen Curry,G,6-2,185.0,4,4.0,09-10,2009-11-06,21-237,21,GSW,Home,LAC,L (-28),1,21:32,21.53333333333333,1,5,1,4,0.25,2,0.2,0,1,0,0.0,3,4,0.75,0,1,1,3,0,0,0,6,5,1.5,-13.0,11.0,7.0,2.0,0.0,0.5,0.5555555555555556,,,,,,,,8.532374100719425,107.0,16.6,0.4578313253012048,6.8,0.3235294117647059,7.6,6.4,105.24109014675051,95.4,15.8,27.8,1.7894736842105263,7.6,
4,curryst01,Stephen Curry,G,6-2,185.0,5,5.0,09-10,2009-11-08,21-239,21,GSW,Away,SAC,L (-13),1,31:15,31.25,4,8,3,6,0.5,6,0.5,1,2,3,0.5,0,2,0.0,1,3,4,6,0,0,5,4,9,3.4,-5.0,9.5,6.25,1.75,1.0,0.42857142857142855,0.5,0.75,,,,,,,6.039520112914608,102.75,23.166666666666668,0.5467625899280576,6.5,0.48717948717948717,7.5,7.5,112.67605633802818,92.85333333333334,24.333333333333332,41.166666666666664,2.0526315789473686,7.5,
5,curryst01,Stephen Curry,G,6-2,185.0,6,6.0,09-10,2009-11-09,21-240,21,GSW,Home,MIN,W (+41),1,29:49,29.816666666666663,2,8,1,6,0.16666666666666666,2,0.25,1,2,3,0.5,3,4,0.75,0,2,2,5,1,0,2,1,8,5.5,28.0,9.4,6.2,1.8,1.2,0.4444444444444444,0.5,0.5,1.8,0.33340000000000003,8.0,0.4678,8.0,0.15,8.116904076906884,103.6,22.428571428571427,0.40764331210191085,10.714285714285714,0.36,8.142857142857142,11.428571428571429,105.22388059701493,95.64285714285714,17.857142857142858,36.57142857142857,2.6785714285714284,8.142857142857142,
6,curryst01,Stephen Curry,G,6-2,185.0,7,7.0,09-10,2009-11-11,21-242,21,GSW,Away,IND,L (-14),0,21:11,21.183333333333334,3,7,3,5,0.6,6,0.429,0,2,0,0.0,0,0,0.0,0,1,1,4,1,0,3,2,6,2.6,-13.0,9.166666666666666,6.166666666666667,1.8333333333333333,1.6666666666666667,0.45454545454545453,0.4583333333333333,0.6,2.0,0.43339999999999995,7.2,0.40120000000000006,7.2,0.3,8.03501152340056,110.66666666666667,19.6,0.3877551020408163,8.6,0.3953488372093023,9.8,8.6,101.00603621730382,99.1,18.8,32.8,2.388888888888889,9.8,
7,curryst01,Stephen Curry,G,6-2,185.0,8,8.0,09-10,2009-11-13,21-244,21,GSW,Away,NYK,W (+14),0,2:35,2.583333333333333,0,0,0,0,,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,1,0,0.3,3.0,8.714285714285714,6.0,1.8571428571428572,1.4285714285714286,0.38461538461538464,0.45454545454545453,0.6,1.8,0.3,6.8,0.3758,6.8,0.3,6.610191848957367,108.28571428571429,21.22222222222222,0.5392670157068062,8.777777777777779,0.379746835443038,9.0,10.88888888888889,108.15876515986768,97.32333333333332,19.88888888888889,40.44444444444444,2.257142857142857,9.0,
8,curryst01,Stephen Curry,G,6-2,185.0,9,9.0,09-10,2009-11-14,21-245,21,GSW,Away,MIL,L (-4),0,25:57,25.95,6,9,4,7,0.5714285714285714,8,0.667,2,2,6,1.0,0,0,0.0,1,3,4,2,2,1,1,5,14,12.8,2.0,7.625,5.25,1.625,1.25,0.38461538461538464,0.45454545454545453,0.6,1.4,0.2,5.6,0.2758,5.6,0.3,1.9827539484865606,109.875,21.333333333333332,0.4296875,7.833333333333333,0.3191489361702128,6.5,6.333333333333333,91.19170984455958,96.5,18.833333333333332,31.5,2.35,6.5,
9,curryst01,Stephen Curry,G,6-2,185.0,10,10.0,09-10,2009-11-17,21-248,21,GSW,Away,CLE,L (-6),1,41:18,41.3,6,10,4,4,1.0,8,0.6,2,6,6,0.333,0,1,0.0,0,5,5,7,0,0,3,2,14,11.6,-4.0,8.333333333333334,5.444444444444445,1.6666666666666667,1.1111111111111112,0.4666666666666667,0.484375,0.6,1.6,0.4,6.4,0.36920000000000003,6.4,0.15,10.394991762622862,111.55555555555556,19.7,0.4517766497461929,7.8,0.2692307692307692,8.6,8.9,99.89247311827957,92.8,18.3,30.5,2.4375,8.6,
10,curryst01,Stephen Curry,G,6-2,185.0,11,11.0,09-10,2009-11-18,21-249,21,GSW,Away,BOS,L (-14),1,35:24,35.4,4,10,3,6,0.5,6,0.4,1,4,3,0.25,4,4,1.0,0,0,0,7,4,0,6,3,13,9.3,5.0,8.9,5.3,2.1,1.1,0.42857142857142855,0.5,0.5454545454545454,2.4,0.3666,6.8,0.38920000000000005,6.8,0.15,12.918512429924046,111.2,17.727272727272727,0.441025641025641,7.545454545454546,0.3132530120481928,6.909090909090909,7.363636363636363,97.48995983935743,90.45454545454545,15.454545454545455,27.818181818181817,2.3714285714285714,6.909090909090909,
11,curryst01,Stephen Curry,G,6-2,185.0,12,12.0,09-10,2009-11-20,21-251,21,GSW,Home,POR,W (+14),1,45:34,45.56666666666667,3,9,1,6,0.16666666666666666,2,0.333,2,3,6,0.667,4,5,0.8,0,6,6,8,1,1,1,6,12,12.2,18.0,9.272727272727273,5.363636363636363,2.272727272727273,1.3636363636363635,0.4,0.4880952380952381,0.6666666666666666,2.8,0.3166,7.2,0.4192,7.2,0.2,12.975553830024346,109.72727272727273,21.307692307692307,0.4332129963898917,8.0,0.28846153846153844,8.0,7.384615384615385,97.59862778730704,88.96076923076923,18.53846153846154,32.23076923076923,2.5365853658536586,8.0,
12,curryst01,Stephen Curry,G,6-2,185.0,13,13.0,09-10,2009-11-24,21-255,21,GSW,Away,DAL,W (+8),1,34:48,34.8,6,12,4,8,0.5,8,0.5,2,4,6,0.5,4,4,1.0,1,3,4,6,3,0,4,5,18,14.8,16.0,9.5,5.416666666666667,2.3333333333333335,1.6666666666666667,0.42857142857142855,0.4731182795698925,0.7,3.0,0.45,7.6,0.4,7.6,0.36,12.2926657860926,109.58333333333333,21.307692307692307,0.48014440433212996,9.153846153846153,0.36134453781512604,7.6923076923076925,7.923076923076923,99.59742351046698,93.29846153846155,20.076923076923077,35.69230769230769,2.8333333333333335,7.6923076923076925,
13,curryst01,Stephen Curry,G,6-2,185.0,14,14.0,09-10,2009-11-25,21-256,21,GSW,Away,SAS,L (-14),1,34:12,34.2,5,16,4,12,0.3333333333333333,8,0.313,1,4,3,0.25,0,0,0.0,1,6,7,5,1,2,6,3,11,3.0,-7.0,10.153846153846153,5.615384615384615,2.4615384615384617,1.8461538461538463,0.4375,0.47619047619047616,0.75,3.8,0.55,10.0,0.5,10.0,0.5599999999999999,16.287800372781277,109.6923076923077,23.25,0.45161290322580644,8.916666666666666,0.32710280373831774,9.5,10.916666666666666,106.07434270172259,91.02499999999999,19.583333333333332,36.666666666666664,2.2291666666666665,9.5,
14,curryst01,Stephen Curry,G,6-2,185.0,15,15.0,09-10,2009-11-28,21-259,21,GSW,Home,LAL,L (-33),1,36:01,36.016666666666666,5,15,4,10,0.4,8,0.333,1,5,3,0.2,2,2,1.0,1,3,4,8,0,0,1,0,13,10.7,-23.0,10.214285714285714,6.071428571428571,2.5714285714285716,1.7142857142857142,0.4166666666666667,0.45454545454545453,0.75,4.2,0.4,11.4,0.42919999999999997,11.4,0.5599999999999999,12.586339934794678,109.28571428571429,19.928571428571427,0.4444444444444444,9.357142857142858,0.3053435114503817,8.571428571428571,7.5,98.97435897435898,96.00642857142857,16.428571428571427,33.285714285714285,2.62,8.571428571428571,
15,curryst01,Stephen Curry,G,6-2,185.0,16,16.0,09-10,2009-11-30,21-261,21,GSW,Home,IND,W (+19),1,19:50,19.83333333333333,2,5,1,3,0.3333333333333333,2,0.4,1,2,3,0.5,2,2,1.0,0,2,2,4,3,0,2,2,7,7.9,-7.0,10.4,6.333333333333333,2.7333333333333334,1.7333333333333334,0.3902439024390244,0.4411764705882353,0.7692307692307693,4.0,0.3734,12.4,0.3758,12.4,0.76,12.875901984593304,108.46666666666667,21.5,0.43521594684385384,8.428571428571429,0.3813559322033898,9.5,11.071428571428571,102.84256559766764,98.0,19.571428571428573,36.214285714285715,2.185185185185185,9.5,6.0
16,curryst01,Stephen Curry,G,6-2,185.0,17,17.0,09-10,2009-12-01,21-262,21,GSW,Away,DEN,L (-28),1,40:42,40.7,4,14,2,8,0.25,4,0.286,2,6,6,0.333,0,0,0.0,1,3,4,6,2,2,1,2,10,9.2,-14.0,10.1875,6.125,2.6875,1.75,0.3953488372093023,0.4397163120567376,0.7857142857142857,3.6,0.4234,11.4,0.3758,11.4,0.76,8.76277057767231,109.5625,22.41176470588235,0.4540682414698163,9.647058823529411,0.32926829268292684,10.470588235294118,9.176470588235293,105.11739915713424,97.82352941176471,21.529411764705884,38.529411764705884,2.523076923076923,10.470588235294118,
17,curryst01,Stephen Curry,G,6-2,185.0,18,18.0,09-10,2009-12-03,21-264,21,GSW,Home,HOU,L (-2),1,31:51,31.85,4,8,3,5,0.6,6,0.5,1,3,3,0.333,2,2,1.0,1,4,5,2,2,1,4,3,11,7.8,-3.0,10.176470588235293,6.235294117647059,2.8823529411764706,1.6470588235294117,0.3877551020408163,0.4258064516129032,0.7857142857142857,4.2,0.3566,12.4,0.3664,12.4,0.6,9.628831174420124,109.41176470588235,21.27777777777778,0.4934725848563969,7.055555555555555,0.3700787401574803,7.333333333333333,7.666666666666667,105.36443148688046,94.91111111111111,21.22222222222222,35.0,1.984375,7.333333333333333,14.0
18,curryst01,Stephen Curry,G,6-2,185.0,19,19.0,09-10,2009-12-05,21-266,21,GSW,Home,ORL,L (-8),1,46:09,46.15,6,12,6,10,0.6,12,0.5,0,2,0,0.0,1,1,1.0,0,3,3,3,1,0,3,4,13,6.4,-8.0,10.222222222222221,6.166666666666667,2.888888888888889,1.6666666666666667,0.38461538461538464,0.4294478527607362,0.8,4.0,0.32320000000000004,11.6,0.3664,11.6,0.6,10.58864935269789,109.38888888888889,23.105263157894736,0.43507972665148065,8.052631578947368,0.4117647058823529,7.684210526315789,9.421052631578947,102.34419668381933,92.05263157894737,19.210526315789473,36.421052631578945,2.283582089552239,7.684210526315789,
19,curryst01,Stephen Curry,G,6-2,185.0,20,20.0,09-10,2009-12-07,21-268,21,GSW,Away,OKC,L (-16),1,36:26,36.43333333333333,9,14,7,10,0.7,14,0.643,2,4,6,0.5,2,2,1.0,0,4,4,2,4,0,5,5,22,15.4,-17.0,10.368421052631579,6.368421052631579,2.8421052631578947,1.631578947368421,0.37037037037037035,0.4342857142857143,0.8064516129032258,3.6,0.2732,10.8,0.40380000000000005,10.8,0.8,12.27659480600555,109.84210526315789,17.842105263157894,0.4306784660766962,8.368421052631579,0.33962264150943394,8.31578947368421,8.631578947368421,102.25606316976877,92.93105263157895,16.263157894736842,30.57894736842105,2.373134328358209,8.31578947368421,
20,curryst01,Stephen Curry,G,6-2,185.0,21,21.0,09-10,2009-12-09,21-270,21,GSW,Away,NJN,W (+16),1,30:12,30.2,6,13,5,9,0.5555555555555556,10,0.462,1,4,3,0.25,1,2,0.5,1,3,4,4,3,0,4,4,14,8.7,7.0,10.95,6.55,2.9,1.65,0.3793103448275862,0.4497354497354497,0.8181818181818182,3.4,0.3332,10.6,0.46579999999999994,10.6,0.8,19.08297844203899,108.75,18.19047619047619,0.5,8.0,0.35714285714285715,7.619047619047619,10.142857142857142,104.40952863659403,93.95238095238095,17.952380952380953,32.523809523809526,2.24,7.619047619047619,
21,curryst01,Stephen Curry,G,6-2,185.0,22,22.0,09-10,2009-12-11,21-272,21,GSW,Away,CHI,L (-5),1,27:15,27.25,3,9,3,6,0.5,6,0.333,0,3,0,0.0,0,0,0.0,0,3,3,1,1,0,0,0,6,3.5,-8.0,11.095238095238095,6.666666666666667,2.9523809523809526,1.6666666666666667,0.3709677419354839,0.4504950495049505,0.8,3.8,0.2832,12.2,0.4782,12.2,0.7,15.52489353257448,108.57142857142857,19.9,0.4849246231155779,10.6,0.33962264150943394,8.65,8.35,107.54614549402824,92.15,17.75,36.9,2.789473684210526,8.65,
